color_space,hog_orient,hog_pix_per_cell,spatial_size,color_hist_bins,reduc_factor,C,gamma,kernel,accuracy,time to predict 100,training time,features vector length,performance
LUV,9,16,16,16,8,1,0.005,linear,0.98874,0.011206,17.255670000000002,223.0,50.658764
LUV,9,16,16,16,8,1,0.005,rbf,0.99493,0.106559,22.65185,223.0,7.278403999999999
LUV,9,16,16,16,8,1,0.001,linear,0.98902,0.010883,14.81786,223.0,52.90601700000001
LUV,9,16,16,16,8,1,0.001,rbf,0.98818,0.07575599999999999,16.41556,223.0,7.284269999999999
LUV,9,16,16,16,8,5,0.005,linear,0.98874,0.009714,37.22768,223.0,58.43958
LUV,9,16,16,16,8,5,0.005,rbf,0.9955,0.097408,29.59672,223.0,8.19348
LUV,9,16,16,16,8,5,0.001,linear,0.98677,0.009911,42.23431,223.0,51.84172
LUV,9,16,16,16,8,5,0.001,rbf,0.99381,0.041869,9.75073,223.0,17.50957
LUV,9,16,16,16,8,10,0.005,linear,0.98902,0.009123,97.24073,223.0,63.11259
LUV,9,16,16,16,8,10,0.005,rbf,0.99578,0.100815,29.65373,223.0,8.02869
LUV,9,16,16,16,8,10,0.001,linear,0.98874,0.009221,68.89967,223.0,61.56405
LUV,9,16,16,16,8,10,0.001,rbf,0.9955,0.036322,8.7376,223.0,21.97321
LUV,9,16,16,16,12,1,0.005,linear,0.98592,0.008714,10.84486,149.0,56.47631
LUV,9,16,16,16,12,1,0.005,rbf,0.99409,0.047022,10.45581,149.0,15.8119
LUV,9,16,16,16,12,1,0.001,linear,0.98705,0.008644,14.70585,149.0,60.28967
LUV,9,16,16,16,12,1,0.001,rbf,0.98508,0.051203,11.67747,149.0,9.21043
LUV,9,16,16,16,12,5,0.005,linear,0.98705,0.008011,30.51034,149.0,65.05354
LUV,9,16,16,16,12,5,0.005,rbf,0.99662,0.035379,8.65159,149.0,23.86351
LUV,9,16,16,16,12,5,0.001,linear,0.98818,0.007982,31.67648,149.0,69.13393
LUV,9,16,16,16,12,5,0.001,rbf,0.98986,0.027242,6.54582,149.0,22.05209
LUV,9,16,16,16,12,10,0.005,linear,0.9862,0.007687,59.68251,149.0,64.93712
LUV,9,16,16,16,12,10,0.005,rbf,0.99662,0.034914,8.59008,149.0,24.18134
LUV,9,16,16,16,12,10,0.001,linear,0.98705,0.00756,82.10333,149.0,68.93438
LUV,9,16,16,16,12,10,0.001,rbf,0.99099,0.021948,5.48719,149.0,28.97802
LUV,9,16,16,16,16,1,0.005,linear,0.98564,0.007504,8.46506,111.0,64.65814
LUV,9,16,16,16,16,1,0.005,rbf,0.99324,0.027875,6.62483,111.0,25.55614
LUV,9,16,16,16,16,1,0.001,linear,0.98564,0.00749,8.7841,111.0,64.77899
