color_space,hog_orient,hog_pix_per_cell,spatial_size,color_hist_bins,reduc_factor,C,gamma,kernel,accuracy,time to predict 100,training time,features vector length,performance
LUV,19,16,16,16,18,3,0.005,rbf,0.9969,0.038082,8.98863,159.0,0.0
LUV,19,16,16,16,18,3,0.005,linear,0.99043,0.006194,17.97076,159.0,0.0
LUV,19,16,16,16,18,5,0.005,rbf,0.99747,0.038223,9.13965,159.0,0.0
LUV,19,16,16,16,18,5,0.005,linear,0.99043,0.006237,23.40844,159.0,0.0
LUV,19,16,16,16,20,3,0.005,rbf,0.99718,0.030803,7.35543,143.0,0.0
LUV,19,16,16,16,20,3,0.005,linear,0.9893,0.0068,18.20129,143.0,0.0
LUV,19,16,16,16,20,5,0.005,rbf,0.99747,0.030184,7.27091,143.0,0.0
LUV,19,16,16,16,20,5,0.005,linear,0.98986,0.006377,22.2303,143.0,0.0
LUV,19,16,16,16,25,3,0.005,rbf,0.9969,0.0194,4.68359,114.0,0.0
LUV,19,16,16,16,25,3,0.005,linear,0.9862,0.00618,16.46107,114.0,0.0
LUV,19,16,16,16,25,5,0.005,rbf,0.99662,0.018358,4.56207,114.0,0.0
LUV,19,16,16,16,25,5,0.005,linear,0.98733,0.006026,24.20004,114.0,0.0
