color_space,hog_orient,hog_pix_per_cell,spatial_size,color_hist_bins,reduc_factor,C,gamma,kernel,accuracy,time to predict 100,training time,features vector length
LUV,11,16,16,16,23,10,0.005,rbf,0.9940899999999999,0.012164,3.11539,87
LUV,11,16,16,16,23,5,0.005,rbf,0.99324,0.013543000000000001,3.4269300000000005,87
LAB,11,16,16,16,18,10,0.005,rbf,0.99324,0.027101,7.37193,111
LUV,11,16,16,16,18,5,0.005,rbf,0.9924,0.020033000000000002,4.988630000000001,111
LUV,11,16,16,16,18,10,0.005,rbf,0.9924,0.018668,4.67909,111
LAB,11,16,16,16,23,10,0.005,rbf,0.9918399999999999,0.018978000000000002,5.29117,87
LUV,11,16,16,16,18,10,0.0025,rbf,0.9918399999999999,0.015036,3.88099,111
LAB,11,16,16,16,18,5,0.005,rbf,0.9909899999999999,0.029044,7.53745,111
LUV,11,16,16,16,18,5,0.0025,rbf,0.9909899999999999,0.021174000000000002,4.47956,111
LUV,11,16,16,16,23,10,0.0025,rbf,0.9909899999999999,0.011854,2.94687,87
LAB,11,16,16,16,23,5,0.005,rbf,0.9893,0.021371,5.5857,87
LAB,11,16,16,16,18,10,0.0025,rbf,0.9890200000000001,0.024243,6.698339999999999,111
LUV,11,16,16,16,23,5,0.0025,rbf,0.98874,0.014416,3.58045,87
LAB,11,16,16,16,23,10,0.0025,rbf,0.9862,0.020723,5.70622,87
LAB,11,16,16,16,18,5,0.0025,rbf,0.98536,0.027875,7.1849,111
LAB,11,16,16,16,23,5,0.0025,rbf,0.98198,0.024763999999999998,6.45031,87
LAB,11,16,16,16,20,12,0.005,rbf,0.9921200000000001,0.02292,6.28129,100
LUV,9,16,16,16,20,5,0.005,rbf,0.99324,0.014543,3.50694,89
LAB,9,16,16,16,20,5,0.005,rbf,0.98818,0.022821,6.07926,89
LUV,11,16,16,16,20,5,0.005,rbf,0.9926799999999999,0.016569999999999998,4.22403,100
LUV,11,16,16,16,20,10,0.005,rbf,0.9926799999999999,0.015247,3.9925,100
LUV,11,16,16,16,16,10,0.005,rbf,0.9929600000000001,0.024919,6.15327,125
LUV,11,16,16,16,20,5,0.005,rbf,0.9929600000000001,0.016556,4.14452,100
LUV,11,16,16,16,16,5,0.005,rbf,0.9924,0.025468,6.22778,125
LUV,19,16,16,16,16,10,0.005,rbf,0.99775,0.055314,12.86112,179
LUV,11,16,32,32,16,5,0.005,rbf,0.9904299999999999,0.190621,89.63678,272
LUV,19,16,16,16,25,10,0.005,rbf,0.99606,0.018217,4.67259,114
